Site,BGB,BKB,BLB,BLC,BLG,BRB,CAP,CCF,EMS,FRD,GOF,GOL,GOR,GOS,GRP,GSF,GZS,HFC,LMB,LOG,LOP,MOO,RVC,SAB,SAR,SHG,SHR,SKH,SMB,ULL,WAM,WCF,WHB,WHC,WHS,YEB,YLB
DARK66,0,0,0,5,6,0,56,1,0,0,0,0,0,0,0,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
DETW65,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DETW66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
HENN65,8,0,0,0,0,0,47,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,1,0,0,0
HENN66,8,1,0,2,1,0,17,0,0,0,3,0,0,0,0,6,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3,0,1,0
HENR65,8,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
HENR66,9,0,1,0,0,0,41,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HURR65,0,0,0,0,0,0,36,10,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,1,0,0,0
HURR66,1,0,0,4,2,0,57,16,0,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,2
JOHN65,0,0,1,0,0,0,41,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JOHN66,0,0,0,0,0,0,34,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
LBAT65,11,0,0,1,0,0,12,1,0,1,0,0,0,0,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
LBAT66,13,0,0,34,26,0,207,2,0,2,2,0,0,0,0,0,53,0,5,0,0,0,0,0,0,1,0,1,0,0,4,0,2,7,0,1,0
LBUL65,0,0,7,0,0,0,99,2,0,0,90,0,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,1,0,0
LBUL66,1,0,0,0,0,0,31,0,0,0,18,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0
LPEO65,2,0,0,0,0,0,28,0,0,0,2,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPEO66,10,0,0,5,2,1,50,0,0,0,0,0,0,0,0,7,16,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0
LSIS65,45,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0
LSIS66,64,1,1,1,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0
MORT65,0,0,0,2,0,0,32,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
MORT66,1,1,0,2,0,0,23,5,0,0,0,0,0,0,0,0,28,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,3,0,0,0
PEKI65,0,0,1,0,0,0,61,0,0,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,1
PEKI66,4,0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,2
SUGA65,0,0,0,1,0,0,17,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUGA66,3,0,8,1,0,0,264,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TURK65,3,0,2,0,1,0,49,0,0,1,3,0,1,0,0,0,6,0,0,0,0,0,13,3,0,0,6,0,0,0,0,0,3,0,0,0,0
TURK66,12,1,0,8,2,0,107,2,0,0,1,0,0,0,0,1,4,0,3,0,0,0,0,2,0,0,1,0,0,2,0,1,1,6,0,0,7
UBAT65,9,1,0,3,0,0,61,1,0,3,0,0,0,0,0,1,36,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0
UBAT66,6,0,0,9,9,0,74,6,0,5,0,0,0,0,0,2,27,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,1
UBUL65,0,0,2,0,0,0,25,3,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
UBUL66,0,0,0,0,0,0,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
USIS65,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
USIS66,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
WAUP65,0,0,0,0,0,0,43,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAUP66,0,0,0,0,0,0,19,0,0,0,13,0,0,0,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
