Sample,Type,AME,BCF,BGB,BKB,BLC,BLG,BLR,BLS,BRM,BRS,BUM,BUS,CAP,CCF,CHS,COS,DUD,EMS,FCF,FRD,GOL,GOR,GRC,GSF,GZS,HFC,INS,LMB,LOG,LOP,LOS,MOF,MOM,MOO,NFH,NHS,ORS,RVC,RVS,SAB,SAR,SAS,SCP,SES,SFS,SHG,SHR,SHS,SJM,SKH,SMB,SPB,SPC,SPG,STB,SUM,SVC,SVL,SVM,SVR,THS,ULL,WHB,WHC,YLB
NH_2_2S,2,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,6,11,1,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NH_2_3M,1,0,0,0,0,0,0,0,0,0,0,0,14,0,9,6,0,0,23,0,4,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,4,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,0
NH_2_3S,2,0,0,0,0,0,4,0,0,0,0,0,6,2,4,4,0,0,167,2,9,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,2,6,1,0,0,0,0,0,3,0,0,1,0,0,0,1,0,1,4,7,0,0
NH_3_1M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NH_3_1S,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NH_3_2M,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
NH_3_2S,2,0,0,0,1,0,0,0,0,0,1,1,0,2,2,0,0,0,121,2,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,7,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,1,0,0
NH_3_3M,1,0,0,0,0,0,0,0,0,0,0,0,14,1,6,0,0,0,11,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,4,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,12,0,0,5,3,0,0
NH_3_3S,2,0,0,0,0,0,2,0,1,0,0,5,1,11,2,0,0,0,37,1,4,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,6,0,2,0,0,0,1,41,0,0,0,0,0,0,8,0,1,0,0,0,0,21,0,0,0,2,0,0
VMC_1_1M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
