EPA_Code,Alasmidonta_marginata,Alasmidonta_viridis,Anodontoides_ferussacianus,Arcidens_confragosus,Lasmigona_complanata,Lasmigona_compressa,Lasmigona_costata,Pyganodon_grandis,Strophitus_undulatus,Utterbackia_imbecillis,Amblema_plicata,Cyclonaias_tuberculata,Elliptio_dilatata,Fusconaia_flava,Megalonaias_nervosa,Pleurobema_sintoxia,Quadrula_metanevra,Quadrula_nodulata,Quadrula_pustulosa,Quadrula_quadrula,Tritogonia_verrucosa,Uniomerus_tetralasmus,Actinonaias_ligamentina,Lampsilis_cardium,Lampsilis_fasciola,Lampsilis_siliquoidea,Lampsilis_teres,Leptodea_fragilis,Ligumia_recta,Ligumia_subrostrata,Obliquaria_reflexa,Potamilus_alatus,Potamilus_ohiensis,Toxolasma_parvum,Toxolasma_texasiensis,Truncilla_donaciformis,Truncilla_truncata,Venustaconcha_ellipsiformis,Villosa_lienosa,latitude,longitude,CH_bd50,Ch_bd100,Ch_bdG100,Glakes,Missi,Bigriver,Pondup_L,Ponddn_L,Pondup_S,Ponddn_S,Pondupst,Ponddnst,Pond,Pondarea,Damupst,Damdnst,Damup_L,Damdn_L,Order,Downorder,Link,Dlink,Sinuosity,CH_Grad,R_Water,RT_Grass,W_Urban,W_Agri,W_Grass,W_Forest,W_Water,W_Wet,W_Area,W_Perm,W_Slope,W_Darcy,WT_Urban,WT_Agri,WT_Grass,WT_Forest,WT_Alluv,WT_Coars,WT_CMorai,WT_Collu,WT_Dune,WT_Fine,WT_ICont,WT_Lacus,WT_Loess,WT_MMora,WT_OWash,WT_PMuck,WT_Rocky,WT_Sand,WT_Shale,WT_Carb,WT_BR50,WT_BR100,WT_BG100,WT_Area,WT_Slope,WT_Precip,WT_Perm,WT_AMean,WT_JMin,WT_JMean,WT_JMax,WT_GDD,WT_Darcy
NF_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.8219778,-89.0945513,1,0,0,0,1,1,28253.86,0,10.16,0,1,0,0,0,0,0,0,0,0,3,6,8,1.779,0.00084313,0.0138,0.1658,0,0.5855,0.1019,0.3017,0.0092,0.0939,4.3884,76.7363,0.5107,-5.8852,0.261,0.2526,0.209,0.258,0.1362,0,0,0,0,0.6252,0,0.1783,0,0,0,0,0,0,1,0,1,0,0,60.669,0.6582,1129.9048,60.6083,128.3571,189.5055,252.3048,315.5796,4085.3037,-3.1155
NGA_02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.8140228,-88.9229215,1,0,0,0,0,1,8832.28,0,25.71,19,1,1,0,0,1,1,8832.28,0,0,3,11,90011,1.064,0.0012295,0.0439,0.2423,0.3228,0.089,0.1928,0.3904,0.0019,0.1793,4.8042,73.6497,1.0774,-0.2739,0.0431,0.1055,0.3819,0.4337,0,0,0,0,0,0.8569,0,0.1431,0,0,0,0,0,0,1,0,1,0,0,40.8969,1.5643,1137.6984,62.9161,126.124,188,249.4958,311.543,4000.1985,-0.033
ND_01,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,37.7647528,-89.18898,1,0,0,0,1,1,27997.33,0,118.66,0,1,0,0,0,1,0,27997.33,0,0,5,132,133,2.343,0.00020678,0.2599,0.1218,0,0.5876,0.0966,0.3028,0.0075,0.0626,3.492,75.2979,1.1796,-15.5515,0.0769,0.1605,0.2453,0.4537,0.055,0,0,0,0,0.5719,0,0.1153,0,0,0,0,0.1868,0.078,0.8869,0.035,0.9904,0.0096,0,693.9252,2.3269,1147.4434,75.4148,131.1186,188,252.0921,317,4155.3296,-4.5615
NZL_01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7575907,-89.2909538,1,0,0,0,1,1,4078.63,0,54.63,0,1,0,0,0,1,0,4078.63,0,0,2,2,1138,1.386,0.00156666,0.0775,0.1901,0,0.1136,0.3034,0.5817,0.0013,0.1292,4.8474,69.0516,2.1855,-32.2187,0,0.1237,0.3497,0.5127,0.2798,0,0,0,0,0.6732,0,0.047,0,0,0,0,0,0.0244,0.9756,0,1,0,0,25.5384,2.7012,1140.066,72.1164,131.6799,191,254,316.7079,4175.9951,-18.0732
ND_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7385894,-88.8792272,1,0,0,0,0,1,5462.5,43089.1,19.38,7212.48,1,1,0,0,1,1,31511.89,96063.95,0,4,18,19,1.17,0.00101463,0.0171,0.278,0.068,0.4951,0.2098,0.1711,0.0464,0.1647,4.3281,73.5014,0.4028,0,0.0219,0.3052,0.3767,0.2845,0,0,0,0,0,0.7728,0,0.2271,0,0,0,0,0,0,1,0,0.9876,0.0124,0,82.5192,1.0734,1140.5319,65.2052,127.2936,188,250.1449,313.7253,4032.8611,0.0045
N_05,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,38.3355435,-89.0061001,1,0,0,0,0,1,21140.88,109784.43,7.07,16289.82,1,1,0,0,1,1,49029.2,53349.27,0,4,48,49,1.465,0.00014815,0.0065,0.3615,0,0.6207,0.2062,0.173,0,0.1588,1.7631,75.5927,0.1736,0.0327,0.0041,0.3471,0.4014,0.2445,0.1384,0.0616,0,0,0,0.7712,0.0616,0.0288,0,0,0,0,0,0,1,0,1,0,0,154.0449,1.0001,1052.2988,54.7296,124.9924,188.7084,252.0086,315,3990.0459,-12.0257
NDJ_01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.6773727,-89.0234706,1,0,0,0,0,1,11079.24,2066.03,49.6,7212.48,1,1,0,0,1,1,6488.32,43260.48,0,3,8,9,1.203,0.00141605,0.0189,0.2714,0,0.1216,0.1644,0.714,0,0.3993,3.87,73.6884,0.6663,0,0,0.1173,0.4153,0.4614,0.0415,0,0,0,0,0.6245,0,0.0944,0,0,0,0,0.2396,0.0094,0.9906,0,1,0,0,44.7399,2.9953,1154.2356,91.4915,132.48,190.0009,251.984,313.4165,4197.9448,-5.2538
NA_03,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,37.6615454,-89.2911293,1,0,0,0,1,1,260.25,0,1674.59,0,1,0,0,0,1,0,0,0,0,3,11,12,1.572,0.00777164,0.407,0.0408,0,0.2709,0.1469,0.5795,0.0027,0.059,1.6479,80.1894,5.1327,-83.8722,0.0102,0.1061,0.1813,0.61,0.0164,0,0,0,0,0.1017,0,0,0,0,0,0,0.7959,0.6864,0.0871,0.2265,1,0,0,80.379,5.2094,1166.0077,113.4979,135.0232,191.5757,253.3464,315,4249.1465,-1.3662
NDDA_01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,37.6594908,-89.1197836,1,0,0,0,0,1,5357.42,14051.61,909.18,7212.48,1,1,0,0,1,1,5357.42,48256.15,0,4,12,13,1.124,0.00021989,0.2877,0.1088,0,0.3574,0.3037,0.329,0.0072,0.0149,1.9917,84.4591,1.8305,0,0,0.0637,0.1653,0.6926,0,0,0,0,0,0.2651,0,0.0566,0,0,0,0,0.5779,0.1739,0.8031,0.023,1,0,0,47.1087,3.8693,1159.95,98.2924,134.965,191,252.7089,314,4265,0.003
NDCA_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.6654534,-89.1664491,1,0,0,0,1,1,0,0,68.06,0,1,0,0,0,1,0,0,0,0,1,1,2,1.191,0.00718299,0.2132,0.0935,0,0.0996,0.2413,0.6515,0.0076,0.0139,3.5586,62,2.65,-2.8313,0,0.0986,0.2232,0.6091,0,0,0,0,0,0.7877,0,0,0,0,0,0,0,0,1,0,1,0,0,5.265,2.7391,1144.1527,63.9942,133.3251,192,253,314.2987,4229.4399,-1.9865
