"","COMID","A_ligamentina","A_confragosus","E_triquetra"
"473",2932211,0,0,0
"474",2932235,0,0,0
"475",2932237,0,0,0
"476",2932703,0,0,1
"477",2932865,1,1,0
"478",2932869,1,1,0
"479",2932875,1,1,0
"480",2932877,0,1,0
"481",2932881,1,1,0
"482",2932883,0,0,0
"483",2932885,1,1,0
"484",2932893,1,1,0
"485",2932895,0,1,0
"486",2932899,1,1,0
"487",2932901,0,1,0
"488",2932903,0,1,0
"489",2938415,1,1,0
"490",2938437,1,1,0
"491",2938449,0,0,0
"492",2938485,1,1,0
"493",2938505,0,1,0
"494",2938519,0,0,0
"495",2938521,1,0,0
"496",2938525,1,1,1
"497",2938529,0,0,0
"498",2938535,0,1,0
"499",3594586,0,0,0
"500",3594614,0,0,0
"501",3594638,0,0,0
"502",3594712,0,0,0
"503",3594836,0,0,0
"504",3594878,0,0,0
"505",3594890,0,0,0
"506",3594922,0,0,0
"507",3594978,0,0,0
"508",3594998,1,0,1
"509",3595018,1,0,1
"510",3595146,1,0,0
"511",3595160,0,0,0
"512",3595186,0,0,0
"513",3595206,0,0,0
"514",3595216,0,0,0
"515",3595246,0,0,0
"516",3595250,0,0,0
"517",3595270,0,0,0
"518",3595300,0,0,0
"519",3595304,0,0,0
"520",3595312,0,0,0
"521",3595322,1,0,0
"522",3595326,0,0,0
"523",3595334,0,0,0
"524",3595336,0,0,0
"525",3595340,0,0,0
"526",3595364,0,0,0
"527",3595366,0,0,0
"528",3595388,0,0,0
"529",3595402,0,0,0
"530",3595404,0,0,0
"531",3595422,0,0,0
"532",3595440,0,0,0
"533",3595454,0,0,0
"534",3595458,0,0,0
"535",3595460,0,0,0
"536",3595464,0,0,0
"537",3595468,0,0,0
"538",3595474,0,0,0
"539",3595500,0,0,0
"540",3595506,0,0,0
"541",3595522,0,0,0
"542",3595532,0,0,0
"543",3595536,0,0,0
"544",3595540,0,0,0
"545",3595572,0,0,0
"546",3595582,0,0,0
"547",3595590,0,0,0
"548",3595608,0,0,0
"549",3595616,1,0,0
"550",3595624,0,0,0
"551",3595626,0,0,0
"552",3595632,0,0,0
"553",3595640,0,0,0
"554",3595648,0,0,0
"555",3595652,0,0,0
"556",3595658,0,0,0
"557",3595660,0,0,0
"558",3595674,0,0,0
"559",3595676,1,0,0
"560",3595702,0,0,0
"561",3595716,0,0,0
"562",3595718,0,0,0
"563",3595736,0,0,0
"564",3595748,0,0,0
"565",3595758,0,0,0
"566",3595768,0,0,0
"567",3595792,0,0,0
"568",3595798,0,0,0
"569",3595812,0,0,0
"570",3595816,0,0,0
"571",3595820,0,0,0
"572",3595824,0,0,0
"573",3595846,0,0,0
"574",3595848,0,0,0
"575",3595954,0,0,0
"576",3595964,0,1,0
"577",3595974,0,0,0
"578",3596024,0,0,0
"579",3596060,0,0,0
"580",3596068,0,0,0
"581",3596086,0,0,0
"582",3596140,0,0,0
"583",3596146,0,0,0
"584",3596158,0,0,0
"585",3596170,0,0,0
"586",3596176,0,0,0
"587",3596192,0,0,0
"588",3596200,0,0,0
"589",3596210,0,0,0
"590",3596230,0,0,0
"591",3596236,0,0,0
"592",3596382,0,0,0
"593",3596386,0,0,0
"594",3596396,0,0,0
"595",3596430,1,0,1
"596",3596460,1,0,1
"597",3596526,0,0,0
"598",3596532,0,0,0
"599",3596534,0,0,0
"600",3596536,0,0,0
"601",3596850,0,0,0
"602",3596868,0,0,0
"603",3596874,0,0,0
"604",3596924,0,0,0
"605",3596990,1,0,0
"606",3597052,0,0,0
"607",3597092,0,0,0
"608",3597118,0,0,0
"609",3597136,0,0,0
"610",3597212,0,0,0
"611",3597250,0,0,0
"612",3597340,0,0,0
"613",3597350,0,0,0
"614",3597656,0,0,0
"615",3597800,1,0,0
"616",3597824,0,0,0
"617",3597834,0,0,0
"618",3597836,0,0,0
"619",3597866,0,0,0
"620",3597882,0,0,0
"621",3597994,1,0,0
"622",3598028,0,0,0
"623",3598054,1,1,0
"624",3598058,1,1,0
"625",3598060,0,0,0
"626",3598062,1,0,0
"627",3598162,0,0,0
"628",3598168,1,1,0
"629",3598174,0,1,0
"630",3598184,1,1,0
"631",3598196,1,1,0
"632",3598204,1,1,0
"633",3598212,0,1,0
"634",3598238,1,0,0
"635",3598258,1,1,0
"636",3598260,1,1,0
"637",3598266,1,1,0
"638",3598268,0,0,0
"639",3598270,0,1,0
"640",3598274,1,1,0
"641",3598278,1,1,0
"642",3598286,0,1,0
"643",3598294,1,1,0
"644",3598298,0,1,0
"645",3598304,1,1,0
"646",3598308,0,1,0
"647",3598312,1,1,0
"648",3598318,1,1,0
"649",3598322,1,1,0
"650",3598330,0,1,0
"651",3598338,1,1,0
"652",3598358,0,0,1
"653",3598360,1,0,0
"654",3598362,1,0,0
"655",3598366,0,0,0
"656",3598686,0,0,0
"657",3598692,0,0,0
"658",3598704,0,0,0
"659",3598716,0,0,0
"660",3598738,0,0,0
"661",3598748,0,0,0
"662",3598752,0,0,0
"663",3598756,0,0,0
"664",3598758,0,0,0
"665",3598766,0,0,0
"666",3598768,0,0,0
"667",3598780,0,0,0
"668",3598814,0,0,0
"669",3599398,0,0,0
"670",3599400,0,0,0
"671",3599422,0,0,0
"672",3599426,0,0,0
"673",3599464,0,0,0
"674",3599530,0,0,0
"675",3599534,0,0,0
"676",3599540,0,0,0
"677",3599542,0,0,0
"678",3599548,0,0,0
"679",3599580,0,0,0
"680",3599588,0,0,0
"681",3599670,0,0,0
"682",3599678,0,0,0
"683",3599724,0,0,0
"684",3599730,0,0,0
"685",3599804,0,0,0
"686",3599818,0,1,0
"687",3599832,0,0,0
"688",3599834,0,0,0
"689",3599870,0,0,0
"690",3599874,0,0,0
"691",3599900,0,0,0
"692",3599938,0,0,0
"693",3599942,0,0,0
"694",3599944,0,0,0
"695",3599958,0,0,0
"696",3599968,0,0,0
"697",3599970,0,0,0
"698",3599988,0,0,0
"699",3599992,0,0,0
"700",3600000,0,0,0
"701",3600006,0,0,0
"702",3600008,0,0,0
"703",3600014,0,0,0
"704",3600020,0,0,0
"705",3600022,0,0,0
"706",3600026,0,0,0
"707",3600028,0,0,0
"708",3600078,0,0,0
"709",3600090,0,1,0
"710",3600096,0,0,0
"711",3600112,0,0,0
"712",3600122,0,0,0
"713",3600124,0,0,0
"714",3600132,0,0,0
"715",3600134,0,0,0
"716",3600136,0,0,0
"717",3600140,0,1,0
"718",3600142,0,0,0
"719",3600146,0,0,0
"720",3600150,0,1,0
"721",3600152,0,0,0
"722",3600154,0,0,0
"723",3600156,0,0,0
"724",3600158,0,0,0
"725",3600162,0,0,0
"726",3600176,0,0,0
"727",3600448,0,1,0
"728",3600504,0,0,0
"729",3600610,0,0,0
"730",3600626,0,0,0
"731",3600628,0,0,0
"732",3600634,0,0,0
"733",3600640,0,0,0
"734",3600646,0,0,0
"735",3600650,0,0,0
"736",3600658,0,0,0
"737",3600662,0,0,0
"738",3600664,0,0,0
"739",3600672,0,0,0
"740",3600686,0,0,0
"741",3600694,0,0,0
"742",3600696,0,0,0
"743",3600704,0,0,0
"744",3600900,0,0,0
"745",3600904,0,0,0
"746",3600932,0,0,0
"747",3600966,0,0,0
"748",3600996,0,1,0
"749",3601000,1,1,0
"750",3601006,1,1,0
"751",3601014,1,1,0
"752",3601016,1,0,0
"753",3601022,1,1,0
"754",3601026,1,1,0
"755",3601030,0,0,0
"756",3601032,1,1,0
"757",3601036,0,0,0
"758",3601044,0,0,0
"759",3601046,0,0,0
"760",3601048,0,0,0
"761",3601050,1,1,0
"762",3601052,0,0,0
"763",3601054,0,0,0
"764",3601056,1,1,0
"765",3601066,1,1,0
"766",3601070,1,1,0
"767",3601076,0,1,0
"768",3601082,0,1,0
"769",3601088,1,1,0
"770",3601094,0,1,0
"771",3601098,1,1,0
"772",3601106,1,1,0
"773",3601112,1,1,0
"774",3601116,0,0,0
"775",3601118,1,1,0
"776",3601152,1,1,0
"777",3601158,0,0,0
"778",3601162,0,0,0
"779",3601196,1,1,0
"780",3601198,1,1,0
"781",3601206,1,1,0
"782",3601210,1,1,0
"783",3601212,0,1,0
"784",3601218,1,1,0
"785",3601220,1,1,0
"786",3601222,1,1,0
"787",3601224,1,1,0
"788",3601226,1,1,0
"789",3601234,0,0,0
"790",3601236,1,0,0
"791",3601238,1,1,0
"792",3601240,0,1,0
"793",3601242,1,1,0
"794",3601246,1,1,0
"795",3601250,1,1,0
"796",3601252,1,1,0
