Site,Reach,Year,SR,secchi,SumOfDP01,SumOfDP05,SumOfDP10,SumOfDT00,SumOfDT32,SumOfDT90,SumOfDX32,SumOfDSNW,EMXPavgcm,EMXPmaxcm,EMXPmincm,MXSDmaxcm,TPCPmaxcm,TPCPcm,TPCPavgcm,TPCPmincm,TSNWcm,EMNTavgC,EMNTmaxC,EMNTminC,EMXTavgC,EMXTmaxC,EMXTminC,MMNTavgC,MMNTmaxC,MMNTminC,MMXTavgC,MMXTmaxC,MMXTminC,MNTMavgC,MNTMmaxC,MNTMminC,qmean,qmin,qmax,qltefavg,FecCol,TempC,Domg,BOD5,tss,NH3,Phos,pH,phenmgl,Fe,Pb,Mn,Hg,Ni,Ag,Zn,As,Cd,Cr,Cu,phenugl
Mars1996,Marseilles,1996,17,20.33,58,15,6,14,150,11,48,25,2.38,8.89,0.25,10.16,15.95,72.54,6.05,0.69,31.75,-6.57,11.67,-29.44,25,33.33,11.11,3.08,16.44,-11.17,14.79,28.28,0.22,8.94,22.39,-5.44,10477.21,3120,71900,5170,60.83,21.76,7.52,0.93,24.25,0.07,0.43,7.74,0,0.4,0,0.05,0.02,0,0,0.04,0,0,0,0.01,2.75
Mars1997,Marseilles,1997,22,45,57,18,7,12,146,17,39,38,2.62,7.24,0.76,27.94,12.95,73.15,6.1,1.5,86.11,-4.26,10,-24.44,25.32,35.56,9.44,3.72,16.89,-14.28,15.23,29.56,-1.89,9.49,23.22,-8.06,11090.41,2940,89600,4940,110,28.27,5.82,0,20,0,0.52,7.65,0,0.33,0,0.04,0.08,0.01,0,0.07,0,0,0,0.01,3
Mars1999,Marseilles,1999,24,64,50,17,8,15,135,37,29,48,2.54,5.97,0.2,43.18,11.79,66.88,5.57,0.91,84.33,-4.49,10,-28.89,27.55,40,9.44,4.14,19.56,-11.5,17.91,32.94,-1.39,11.04,26.28,-6.44,9009.7,1460,46000,2790,101.25,22.95,8.37,2.33,20.83,0.04,0.8,8.59,0.01,0.33,0,0.04,0.01,0,0,0.04,0,0,0,0.01,5.83
Mars2000,Marseilles,2000,17,60.33,72,25,7,12,107,17,30,52,2.68,5.71,0.76,35.56,19.96,91.19,7.6,1.85,91.44,-2.73,13.33,-24.44,27.18,36.67,5.56,6.05,17.56,-14.39,18.26,29.5,-3.61,12.16,23.39,-9,7296.5,1910,43800,5613.33,54.33,22.04,8.88,2.61,25.06,0.13,0.64,7.87,0.01,0.39,0.02,0.05,0.07,0.01,0,0.02,0.03,0,0.01,0.01,8.39
Mars2001,Marseilles,2001,25,52.33,76,23,7,4,121,32,33,44,2.71,6.3,0.56,30.48,14.38,90.09,7.51,1.88,13.97,-2.64,10.56,-19.44,25.46,36.11,5,5.59,18.61,-9.11,17.46,30.89,0.22,11.53,24.78,-4.44,10598.74,2730,61000,10026.67,43.89,23.19,9.31,3.28,22.83,0.08,0.58,7.86,0,0.61,0.01,0.05,0.02,0,0,0.04,0.01,0,0.01,0.01,4.83
Mars2002,Marseilles,2002,21,64.33,55,15,6,2,136,36,23,34,2.39,7.87,0.43,25.4,12.83,71.45,5.95,1.22,75.18,-3.43,11.67,-18.89,27.27,36.11,16.67,5.1,18.56,-7.22,16.67,31.44,3.72,10.9,25,-1.72,9250.63,461,76700,3153.33,27.78,21.83,8.53,4.22,42.94,0.07,0.72,7.82,0.01,1.44,0.01,0.06,0.04,0.01,0,0.03,0.01,0,0.01,0.02,6.83
Mars2003,Marseilles,2003,20,60.67,62,19,10,5,130,16,45,39,1.94,3.68,0.2,15.24,14.86,78.54,6.54,0.79,57.91,-4.35,12.78,-21.67,25.88,36.11,10,4.21,17.44,-11.17,16.13,30.28,-1.56,10.19,23.89,-6.33,8394.22,1740,36800,4220,55.28,20.42,9.03,4.39,39,0.14,0.6,7.81,0.01,6,0.04,0.35,0.07,0.01,0,0.15,0,0,0.02,0.06,5.89
Mars2004,Marseilles,2004,23,90.33,70,24,7,10,121,3,41,40,2.33,4.65,0.41,15.24,17.65,84.94,7.08,1.24,45.21,-4.4,11.11,-22.78,25,32.78,13.33,4.94,16.83,-10.44,16.2,27.72,-1.78,10.58,22.28,-6.11,10476.64,2080,50600,4650,20.83,21.61,9.51,3.62,29,0.11,0.66,8.16,0.01,0.59,0.01,0.04,0.08,0,0,0.02,0,0,0,0.01,5.17
Mars2005,Marseilles,2005,27,67.33,60,13,3,5,120,43,45,35,1.99,5.08,0.53,17.78,11.23,60.66,5.05,0.76,44.45,-3.29,11.11,-20.56,26.99,39.44,9.44,5.46,18.06,-8.89,17.02,30.89,-1.61,11.26,24.5,-5.22,7686.77,1140,78300,3640,46.67,22.49,9.4,3.72,19.11,0.08,0.73,8.04,0.01,0.36,0,0.04,0.03,0,0,0.02,0,0,0,0.01,6.89
Mars2006,Marseilles,2006,24,36.33,74,28,9,2,120,18,15,19,3.05,5.08,1.65,12.7,15.24,99.64,8.3,3.12,16,-1.81,14.44,-21.67,26.53,36.11,13.33,6.09,19.94,-7.39,16.62,30.06,3.61,11.36,25,-1.89,10549.51,3300,42700,9660,171.11,21.51,8.83,2.14,31.61,0.08,0.55,8,0,0.99,0,0.05,0.04,0,0,0.02,0.01,0,0,0,2.5
Mars2007,Marseilles,2007,27,60,68,25,6,11,135,13,55,52,3.51,11.81,0,20.32,36.25,102.59,10.26,0,68.07,-3.64,12.22,-22.78,24.34,33.89,8.33,4.84,19.06,-12.61,15.41,28.89,-3.89,10.13,24,-8.22,12078.63,2430,77700,12500,163.22,24.08,8.3,2.33,22.56,0.08,0.54,8.07,0,0.68,0,0.05,0.01,0,0,0.02,0,0,0,0,0.94
Mars2008,Marseilles,2008,36,77.67,77,29,11,16,133,3,50,62,3.01,5.94,1.02,22.86,20.29,107.31,8.94,2.49,99.31,-3.75,12.22,-23.89,24.44,32.22,7.78,4.08,17.78,-10.67,14.81,28.5,-1.61,9.47,23.17,-5.78,14530.6,1620,102000,8893.33,87.78,20.85,8.7,2.5,24.06,0.12,0.43,7.57,0,0.68,0.01,0.05,0.12,0,0,0.01,0.02,0,0,0,1.17
Mars2009,Marseilles,2009,22,61,80,35,11,8,120,6,58,56,3.1,5.49,0.53,22.86,17.09,117.5,9.79,2.01,93.98,-3.8,12.22,-28.89,23.7,34.44,3.33,4.48,16.06,-14,14.66,26.83,-4.78,9.58,21.44,-9.39,15046.68,2790,87000,6706.67,234.5,19.76,9.32,9.5,46.83,0.13,0.56,7.87,0.01,1.54,0.01,0.06,0.1,0.01,0,0.02,0.03,0.01,0,0.01,5
Mars2010,Marseilles,2010,23,55,67,21,7,9,126,19,62,72,2.13,4.6,1.09,25.4,23.44,86.06,7.17,2.72,82.55,-2.41,12.78,-22.78,24.17,34.44,5.56,5.34,19.78,-11.39,16.42,30.28,-3.67,10.89,25.06,-7.5,10236.9,1240,44700,4320,153.22,22.26,8.33,3.22,14.22,0.15,0.64,8.06,0,0.53,0.01,0.04,0.1,0.01,0,0.02,0.03,0.01,0,0.01,2.5
Star1983,Starved Rock,1983,18,19,65,25,9,13,124,46,49,27,3.2,7.87,0.15,20.32,14.94,97.41,8.12,0.43,45.97,-3.94,12.78,-28.33,25.09,40,3.33,5.19,20.39,-13.94,15.22,33.44,-6.39,10.22,26.94,-10.17,12046.36,3840,61300,10800,237.5,21,7.33,6.25,43,0.68,0.61,6.8,0.01,0.63,0.06,0.07,0.1,0.03,0,0,0,0,0.01,0.02,12.25
Star1985,Starved Rock,1985,14,26.5,77,25,12,24,92,8,48,49,3.46,7.87,0.36,33.02,23.42,102.18,9.29,0.64,40.13,-4.19,11.67,-32.22,24.49,34.44,3.89,4.99,17.78,-15.67,15.86,28.5,-5.94,10.44,23.17,-10.78,12487.97,3520,77000,6620,101.67,20.5,7.37,5.17,28.17,0.77,0.4,6.85,0.03,0.65,0.01,0.06,0.23,0.05,0,0.03,0,0,0.01,0.01,25.17
Star1989,Starved Rock,1989,18,18.5,65,17,4,23,154,17,63,46,2.21,8.18,0.51,17.78,22,74.17,6.18,1.85,27.43,-6.62,12.22,-29.44,26.9,36.67,11.67,2.94,17.72,-15.22,14.79,29.78,-4.5,8.88,23.78,-9.83,8360.99,2960,38300,10600,2546.67,21.26,8.23,5.67,102.83,0.18,0.32,7.54,0.02,2.5,0.02,0.07,0.2,0.06,0.01,0.07,0.05,0.01,0.01,0.01,23.83
Star1990,Starved Rock,1990,12,19,87,30,14,6,141,13,26,23,3.54,7.54,0.51,12.7,20.17,130.3,10.86,0.79,32.26,-3.1,12.78,-21.11,26.85,36.11,13.89,5.2,17.06,-7.39,16.06,28,2.33,10.65,22.56,-2.5,14181.29,3640,80900,8120,1599,19.17,8.67,5.2,64,0.23,0.31,7.95,0.02,0.75,0.01,0.08,0.2,0.06,0.01,0.07,0.06,0.01,0.01,0.03,18.4
Star1991,Starved Rock,1991,14,20,68,28,12,8,135,33,48,42,2.75,5.77,0.38,30.48,18.67,102.69,8.56,0.38,82.3,-4.03,11.67,-21.67,26.71,37.22,6.11,4.96,17.5,-11.67,16.5,30.39,-2.28,10.74,23.94,-6.94,12411.59,2630,52200,3350,126.11,22.51,7.75,3.44,15.33,0.11,0.63,7.69,0.02,0.23,0.01,0.03,0.16,0.02,0,0.02,0.01,0.01,0.01,0.01,20
Star1992,Starved Rock,1992,21,14,68,21,8,6,139,3,28,28,2.5,5.33,0.2,12.7,24.77,93.29,7.77,0.58,51.56,-5.14,11.11,-23.89,23.66,33.89,9.44,3.74,15.61,-6.94,15.12,27.22,1.33,9.44,20.94,-2.78,9687.95,4100,37000,9600,30,18.73,8.1,2.33,25.83,0.1,0.42,7.39,0,0.5,0,0.04,0,0,0,0.03,0,0,0,0.01,2
Star1993,Starved Rock,1993,21,14,86,30,8,9,148,10,58,47,2.81,4.95,1.02,17.78,18.01,108.66,9.06,3.02,67.06,-4.72,13.89,-21.67,23.52,33.89,7.22,3.96,18.56,-8.94,14.41,28.33,-0.61,9.2,23.39,-4.61,18430.3,6290,61400,9390,66.67,17.8,7.32,1.5,31.67,0.06,0.34,7.86,0.01,0.45,0.01,0.04,0.25,0.05,0,0.07,0.01,0.01,0.01,0.01,6.5
Star1994,Starved Rock,1994,18,20.5,60,24,5,21,136,20,47,46,2.73,5.99,0.81,30.48,14,80.06,6.67,2.36,67.31,-4.95,10,-30,25.79,35.56,5,3.77,16.28,-14.28,15.68,29.44,-5.22,9.74,22.33,-9.72,9447.01,2440,37300,4880,60,17.87,6.15,0.6,30.17,0.14,0.57,7.88,0,0.45,0,0.05,0.05,0,0,0.1,0,0,0,0.02,3.83
Star1996,Starved Rock,1996,12,19.5,63,19,7,16,151,17,55,19,2.52,7.49,0.61,10.16,16.89,83.67,6.97,1.12,41.4,-6.99,11.67,-28.89,25.28,35.56,10,2.63,15.78,-11.06,14.31,28.39,-0.78,8.49,22.11,-5.89,10477.21,3120,71900,5320,53.75,21.4,6.35,0.76,29.75,0.04,0.39,7.64,0,0.44,0,0.05,0.03,0,0,0.04,0,0,0,0.01,2.5
Star1997,Starved Rock,1997,14,45.5,53,16,6,12,154,16,49,54,3.17,10.54,0.81,30.48,16.59,71.45,6.5,2.39,138.94,-5.96,10,-25.56,24.65,35.56,8.89,2.17,16.17,-14.06,13.87,29.5,-3.11,8.04,22.83,-8.56,11090.41,2940,89600,5730,87.5,26.25,7.15,0,22.5,0,0.52,8.1,0,0.33,0,0.04,0.05,0.01,0,0.06,0,0,0,0.01,1
Star1999,Starved Rock,1999,17,58,59,22,7,14,135,27,36,50,2.87,7.21,0.71,48.26,12.22,82.78,6.9,1.19,96.27,-4.54,10,-30.56,26.81,37.78,8.89,4.01,19.17,-12,16.83,31.61,-2.56,10.43,25.39,-7.28,9009.7,1460,46000,2870,35,22.38,8.57,1.5,18.5,0.02,0.79,8.63,0,0.26,0,0.03,0.02,0,0,0.02,0,0,0,0.01,3.5
