(Intercept),BOD5,Domg,FecCol,NH3,pH,Phos,qmax,tss,R^2,adjR^2,df,logLik,AICc,delta,weight
3.466149915827879,,1.183157395587149,-0.003016021745736818,,,,9.567385634661305e-5,0.17585300067872506,0.3192591943471462,0.31957674203716613,6,-293.8297973654372,600.6716429236454,11.34524243548151,0.00133700741509515
-26.37908716402949,,,-0.004100755507896471,4.883052716058542,6.221471241690795,-4.667283538797763,,0.14750874500369432,0.3363836366731451,0.3367182170037272,7,-292.68331396812425,600.7324815947851,11.406081106621173,0.00129694890344766
-40.66000477244701,,,,0.8818302668560055,6.785961204146621,,1.08409850613551e-4,0.14405144017101132,0.31831862891043616,0.31863524107726043,6,-293.89193001726653,600.7959082273042,11.469507739140226,0.00125646370569646
-30.939026231053536,,0.8973296442928879,,,5.262803060777965,-4.174521517148581,9.161209274945577e-5,0.10453539245204965,0.3354413363938209,0.33577497947566504,7,-292.7471662749728,600.8601862084822,11.533785720318292,0.00121672424413814
11.996460788707394,,,-0.003834583274077081,,,,1.0171531056545168e-4,0.2028905650038979,0.2986708558763411,0.29896792559912155,5,-295.1706032670937,601.0554922484731,11.729091760309188,0.00110352453664561
-30.456517156703164,0.6949729205345507,,-0.002046387279082087,,6.753088219948745,-7.650626842076083,7.983582018279872e-5,,0.3339051884316907,0.3342373036006492,7,-292.85106513413365,601.0679839268039,11.741583438639964,0.0010966535796574
1.0743862573778955,,1.3449244422514293,-0.004205213663633879,2.914358893910445,,,9.852206235973623e-5,0.19268228447265798,0.33300102803596865,0.33333224389161004,7,-292.912106937117,601.1900675327706,11.8636670446067,0.00103171404409874
-36.98838738354607,0.36153314850789614,,,,6.828479899290513,-4.194687612859744,9.282827061794891e-5,0.09881275537817545,0.33236178072668665,0.3326923607619351,7,-292.9552139796995,601.2762816179356,11.949881129771711,0.000988184850614333
-39.94440337798727,,0.9525757350282146,,1.265436851536655,5.779769838830994,,1.0281196696360416e-4,0.1338536074314577,0.329803553801049,0.33013158932367204,7,-293.127313499827,601.6204806581906,12.294080170026632,0.000831948263740595
-28.83353780479795,,0.6539172808539648,-0.004097174657655035,5.141219295871098,5.379172752620741,,,0.17178042850885825,0.3297791134315343,0.3301071246448093,7,-293.12895450610375,601.6237626707441,12.297362182580173,0.000830584150982766
-30.085901135390362,0.3126145704489836,,-0.004213116653648504,4.449797921344545,6.134722312105651,,,0.165833759068584,0.3294886562181881,0.32981637853135065,7,-293.14845217239264,601.6627580033219,12.336357515157943,0.000814546554302634
