Site,G5,G11,NAWQA,NRSA,WSA,DRAINAGE,SLOP_PCT,ELEV_AVG,ELEV_MIN,ELEV_MAX,ELEV_RNG,ECO3_39,ECO3_45,PPTAVG_C,PPTAVG_B,T_AVG_C,T_AVG_B,T_MIN_B,T_MAX_B,C_Mnprecp,Mnprecip,WD_JAN,WD_MAR,WD_APR,WD_JUL,WD_AUG,Wetdays,ET,PET_B,FST32F_B,LST32F_B,TOPWET,RF,PERHOR,Wat_Tab,CLAYAVE,SANDAVE,KFACT_UP,NO10_AV,BDAVE,MgO_PCT,RECHARGE,Year,DoY
S5006294,2,2,0,0,1,1922.3118,22.22,462.37,193.75,782.64,588.89,25.15,0,115.9,124.5,14.32,13.51,8.07,20.1,57.64,60.58,5.32,8.52,8.1,6.8,6.87,1.71,73.31,830,292.24,105.37,11.2,275.063,6.86,-38.54,31.31,31.64,0.24,65.41,1.41,1.9,119.84,2004,222
S5006496,2,3,0,0,1,9.5634,8.29,232.44,143.72,303.47,159.75,0,0,129.3,129.3,14.86,14.77,8.38,21.31,74.92,74.74,7,9,9,7.28,7.28,1.7,76.74,857.96,298.85,98.15,9.98,285.831,5.74,-8.83,27.13,32.08,0.26,70.21,1.42,1.45,135.12,2004,198
S5006543,1,1,0,0,1,178.6509,26.69,398.36,215.36,698.65,483.29,0,0,153.2,163.4,15.13,14.38,9.41,21.99,85.31,89.48,7.88,9.61,9.81,8.16,6.74,1.73,81.35,857.14,292.38,105.64,11.55,409.685,6.75,-34.23,27.43,15.54,0.26,57.66,1.49,1.04,123.28,2004,226
S5006597,4,9,0,0,1,85.3038,7.19,259.4,186.28,361.27,174.99,0,0,130.7,130.6,15.12,15.03,8.41,21.2,72,73.14,6.62,8.56,8.38,6.89,6.99,1.7,76.86,872.43,296.65,98.45,11.31,288.208,4,-10.14,25.93,34.55,0.26,70.71,1.45,0.62,138.44,2004,189
S5006650,2,2,0,0,1,561.7458,13.84,357.83,237.93,531.17,293.24,100,0,110.5,111.5,14.4,13.69,6.66,20.03,49,48.29,4.72,7.71,7.76,6.35,6.52,1.68,71.79,844,293.31,101.56,11.82,223.706,5.38,-22.57,34.58,26.04,0.3,51.11,1.37,10.75,121.53,2004,230
S5006678,1,1,0,0,1,181.5741,13.8,287.39,154.13,721.73,567.6,0,0,127.7,134.3,16,15.55,9.67,22.74,55.03,60.73,6.23,8.21,9,6.73,6.31,1.69,81.59,916,294.13,99.26,11.43,336.719,6.02,-19.27,29.95,20.56,0.25,70.57,1.48,1.38,71.55,2004,244
S5006688,5,10,0,0,1,12.1896,9.76,575.84,412.83,672.71,259.88,0,0,111,111.3,8.32,8.3,2.42,13.84,70.99,70.99,14.51,14,13,11,11,2.12,56.79,602.84,272.99,138.5,10.14,110.8,0.42,-17.09,18.29,33.32,0.22,62.11,1.37,1.52,262.48,2004,233
S5006699,3,4,0,0,1,7.7796,25.96,413.43,320.3,515.08,194.78,0,0,136.1,136.3,13,13,6.3,19.73,83,83.31,11,11,10,11,9,1.98,75.65,759.77,291,114,11.26,204.423,4,-40.26,40.92,20.63,0.29,58.79,1.47,10.36,254.52,2004,209
S5006716,5,10,0,0,1,8.8578,21.77,454.33,266.97,727.67,460.7,0,0,98.2,98.6,10.82,10.81,4.47,16.42,65.14,64.94,8,10,10.02,9.1,9.1,1.92,62.72,693.48,283.2,121.03,8.46,109.464,0,-24.58,15.55,40.44,0.2,59.97,1.39,1.47,127.03,2004,222
S5006752,4,9,0,0,1,45.5958,24.57,608.82,414.83,1172.13,757.3,0,0,102.2,106.1,11.84,11.26,4.53,17.56,68.66,72.69,9.28,9.96,10.33,11.45,9.91,1.93,67.64,705.25,282.23,122.44,11.27,127.78,0.17,-22.57,17.03,38.18,0.2,56.85,1.38,1.99,163.87,2004,238
